English,standard bangla,garo,marma,chakma
Did you make it yourself?,তুমি কি এটা নিজে বানিয়েছ?,,নাং ইচা কোমাকো লোচা য়াং ,তুই হি ইয়ান নিজে বানিয়োচ?
Can you feel me?,তুমি কি আমাকে অনুভব করছো?,,নাং ঙাগো তুইরে য়াং?,তুই হি মরে অনুভব গুচ্ছস?
Did you see anyone there?,আপনি সেখানে কাউকে দেখেছেন?,,কো য়াদেমা তয়্গম্সুগো ম্রাংতে ল?,তুই হি সিউট হাওরে দিক্কোস?
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,,কো চ্গা ম্প্র সি য়াং?,তুই হি আসলে হুয়োচ?
Did you study yourself?,তুমি কি নিজে অধ্যয়ন করেছ?,,,তুই হি নিজে পুজোস?
Did you take a shower?,তুমি কি গোসল করেছ?,,নাং রি খ্যুব্যা য়াং?,তুই হি গাট্টোস?
Have a good time.,একটি ভাল সময় আছে,,ট্খু্ক আকং আখ্যিং হিরে,ইজ্ঞু গম সময় আগে
Have a nice day.,আপনার দিনটি শুভ হোক,,কো রা্ক আকং ফ্রলি,তর দিনান দোল ওক
Have a nice time.,একটি সুন্দর সময় আছে,,ট্খু্ক আহ্লা আখ্যিং হিরে,ইজ্ঞু দোল সময় আগে
Have a nice trip.,আপনার যাত্রা শুভ হোক,,কো রা্ক আকং ফ্রলি ,ত যাত্রা আন দোল ওক
Have a wonderful vacation.,একটা চমৎকার অবকাশ যাপন করো,,,ইজ্ঞু চমৎকার ভাব যাগন গড়
Have fun this summer!,এই গ্রীষ্মে মজা করুন!,,ই পুখ্যিংমা প্য হো।,এই গ্রীষ্মট মজা গড়
Have you ever seen a whale?,আপনি কি কখনও একটি তিমি দেখেছেন?,,কো তিমি ম্রাং ব্যা ল?,তুই হি হন্দিন তিমি দিক্কোস?
Have you finished dressing?,তুমি কি ড্রেসিং শেষ করেছ?,,নাং অওয়ে ওয়েব্যল,তুই হি ড্রেসিং শেষ গুচ্ছোস?
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,,য়াসু প্রচা আলু ম্লুলি,তা পরামর্শ আন সাহায্য নগড়ে
His brother is patient.,তার ভাই ধৈর্যশীল,,য়াসু আকোসি আ্মা সিখেং ন্হেং রে,তা বেইবু ধইর্যো আগে
His dream came true.,তার স্বপ্ন সত্যি হয়েছে,,য়াসু ইংমাউ আকং ফ্ররে,তা স্বপ্ন আন সত্য উয়ি
His family is very big.,তার পরিবার অনেক বড়,,য়াস্রো ইংসা এরমা আগ্রি,তা পরিবার আন বেজ দাঙর
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,,য়াসু আ্ফা ররেখে ম্রাং রে,তা বা রে সুস্থ দেগার
His horse jumped over the fence.,তার ঘোড়া বেড়ার উপর লাফিয়ে উঠল,,য়াসু ম্রাং য়াসু ছুই আথাউমা খুংব তাউরে,তা ঘোড়া আন বেড়া উরি লাফ দি
His house is very tall.,তার বাড়ি অনেক লম্বা,,য়াসু ইং এরমা আহ্রি,তা ঘর আন বেজ লাম্বা
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,,য়াসু প্যচা য়াসু ম্যাকন্হামা ম্রাংরা রে ব্যা।,তা আনন্দ আন তা মুগোট ফুদি উঠি
His mother was strict.,তার মা কঠোর ছিল,,য়াসু অ্মি কক্রউমন্হেং,তাম্মা কঠোর এল
